読み出し,読み出す
潤っ,潤う
見い出し,見い出す
掘り返し,掘り返す
塗りつぶし,塗りつぶす
上向い,上向く
窺い,窺く
差し置い,差し置く
巣立っ,巣立つ
引出し,引出す
賜っ,賜う
遮っ,遮る
受けとっ,受けとる
吹き返し,吹き返す
奪い取っ,奪い取る
明け渡し,明け渡す
切り抜い,切り抜く
坐っ,坐る
読みふけっ,読みふける
跳ね上がっ,跳ね上がる
取り払っ,取り払う
振りまい,振りまく
入り交じっ,入り交じる
勝ち進ん,勝ち進む
牛耳っ,牛耳る
引き抜い,引き抜く
吊っ,吊る
憤っ,憤る
叩き込ん,叩き込む
当てはまっ,当てはまる
植わっ,植わる
悩まし,悩ます
凌い,凌ぐ
囁い,囁く
捕っ,捕る
狩っ,狩る
拓い,拓く
若返っ,若返る
溶い,溶く
黒ずん,黒ずむ
和ん,和む
薄らい,薄らぐ
耽っ,耽る
食いつぶし,食いつぶす
積み残し,積み残す
寝入っ,寝入る
取り乱し,取り乱す
掃い,掃く
惚れ込ん,惚れ込む
開けっ放し,開けっ放す
祝し,祝す
勝ち誇っ,勝ち誇る
面食らっ,面食らう
垂れ下がっ,垂れ下がる
裂い,裂く
交わっ,交わる
寝かし,寝かす
呼出し,呼出す
滲ん,滲む
荒ん,荒む
紡い,紡ぐ
寄りかかっ,寄りかかる
断わっ,断わる
擦っ,擦る
逃げ回っ,逃げ回る
根差し,根差す
相成っ,相成る
負かし,負かす
踏み外し,踏み外す
根づい,根づく
改まっ,改まる
転がり込ん,転がり込む
取り去っ,取り去る
蹴飛ばし,蹴飛ばす
考えつい,考えつく
焦がし,焦がす
天下っ,天下る
詰め寄っ,詰め寄る
還っ,還る
引っぱっ,引っぱる
引き下がっ,引き下がる
挽い,挽く
受取っ,受取る
知らし,知らす
締め出し,締め出す
汲み取っ,汲み取る
欺い,欺く
罵っ,罵る
生い茂っ,生い茂る
先だっ,先だつ
思い悩ん,思い悩む
舞い戻っ,舞い戻る
言い表し,言い表す
巡らし,巡らす
抜き取っ,抜き取る
攻め込ん,攻め込む
流れ着い,流れ着く
見せびらかし,見せびらかす
立ちあがっ,立ちあがる
締め切っ,締め切る
逸らし,逸らす
片づい,片づく
騒がし,騒がす
揺れ動い,揺れ動く
訛っ,訛る
怒り狂っ,怒り狂う
合わし,合わす
目ざし,目ざす
見知っ,見知る
噛み付い,噛み付く
際だっ,際だつ
祭っ,祭る
穿っ,穿つ
取り崩し,取り崩す
揺るがし,揺るがす
食いつい,食いつく
高ぶっ,高ぶる
聞き取っ,聞き取る
服し,服す
取り巻い,取り巻く
伏し,伏す
遣わし,遣わす
触れ合っ,触れ合う
盛り返し,盛り返す
潤し,潤す
忍ん,忍ぶ
