ツクル	作る
ショホ	初歩
ソウシキ	葬式
ホウレイ	法令
ヒトドオリ	人通り
ソナエル	備える
フウリョク	風力
レイボウ	冷房
イイナリ	言いなり
ツノル	募る
オボエ	覚え
コウキョウキョク	交響曲
ミカク	味覚
ハゲシイ	激しい
ヒニン	否認
コウテイ	行程
セイシ	静止
バイゾウ	倍増
ザイモク	材木
セイミツ	精密
テイエン	庭園
ヒアタリ	日当たり
カケイ	家系
シンコン	新婚
トジョウ	途上
ミコン	未婚
ベンメイ	弁明
カアサン	母さん
シタミ	下見
サガリ	下がり
ジシュ	自首
ハクガイ	迫害
ブトウ	舞踏
デムカエ	出迎え
ゼイムショ	税務署
フイ	不意
デンチ	電池
ワガヤ	我が家
アクニン	悪人
シュッキン	出勤
テンキン	転勤
キンジル	禁じる
ルスバン	留守番
ジツヨウテキ	実用的
オオザッパ	大ざっぱ
オオマカ	大まか
ヨウジ	用事
シュウガクリョコウ	修学旅行
リョカクキ	旅客機
リョケン	旅券
リョヒ	旅費
ハイゼツ	廃絶
ヨクシ	抑止
ナオル	治る
テワケ	手分け
ヘンシン	返信
イマ	居間
ドウキョ	同居
リリク	離陸
カンキ	換気
キョウチョウ	強調
コウオン	高温
コンザツ	混雑
アットウ	圧倒
マルミ	丸み
アカリ	明り
シャリン	車輪
ウラナイ	占い
フカンゼン	不完全
フショウ	負傷
ロクオンテープ	録音テープ
エイキュウ	永久
スクイ	救い
キュウシキ	旧式
ショクブツエン	植物園
タウエ	田植え
ヘイコウ	並行
ナゴヤカ	和やか
ウエキ	植木
ワカル	分かる
チョウシュウ	徴収
イガイ	以外
ゲシュク	下宿
シャコ	車庫
ハン	版
マエモッテ	前もって
シュウシ	修士
ハンソク	反則
ホウソク	法則
オウダンホドウ	横断歩道
サンカク	三角
キシベ	岸辺
ムフウ	無風
ケッテン	欠点
ソクリョウ	測量
ゴクヒ	極秘
ホウサク	豊作
ゲンミツ	厳密
ミツド	密度
タテツヅケ	立て続け
コウキアツ	高気圧
ヨロコブ	喜ぶ
オオヨロコビ	大喜び
ベンカイ	弁解
ヨロコバス	喜ばす
コンキ	根気
ダイコン	大根
テキド	適度
カイチク	改築
アラタメテ	改めて
スバラシイ	素晴らしい
アッパク	圧迫
イシ	意志
クシン	苦心
アシブミ	足踏み
ヨウフク	洋服
エキイン	駅員
ハッカ	発火
シワス	師走
ヨビカケル	呼び掛ける
ハイフ	配布
チュウセイ	中性
ツトメ	勤め
タサツ	他殺
ヨウヤク	要約
インシ	印紙
ショウソク	消息
テイシャ	停車
ヨウコウ	要項
ヨクアツ	抑圧
サイワイ	幸い
ヒョウホン	標本
ベッキョ	別居
オンシツ	温室
ガイキ	外気
キショウ	気性
キタイ	気体
タイオン	体温
テイオン	低温
アイドク	愛読
アイヨウ	愛用
ドウ	同
ヨウテン	要点
アイソウ	愛想
アイソ	愛想
カンリョウ	完了
ムキュウ	無休
カキ	夏季
ガンボウ	願望
ハマベ	浜辺
コエル	越える
シメキル	締め切る
ヒッコシ	引っ越し
ハネ	羽根
コウトウガッコウ	高等学校
フツゴウ	不都合
フビョウドウ	不平等
スクウ	救う
チョウヘイ	徴兵
ウル	得る
カクトウ	格闘
ヨク	欲
ウリアゲ	売り上げ
クツウ	苦痛
ズツウ	頭痛
ヒッシュウ	必修
ロウカ	老化
カンショク	感触
ウマレツキ	生まれつき
ドウラン	動乱
ニッカン	日刊
ミダレル	乱れる
ランボウ	乱暴
フカヒ	不可避
サイシュウ	採集
ヨソオウ	装う
ソンエキ	損益
ソコナウ	損なう
サカサ	逆さ
タヨル	頼る
アッシュク	圧縮
タチバナシ	立ち話
ホケツ	補欠
モル	盛る
セイダイ	盛大
ゾクスル	属する
ウラギル	裏切る
カワギシ	河岸
サクジョ	削除
ドウカ	同化
キンイツ	均一
シンミツ	親密
ブンツウ	文通
ミツバイ	密売
ミアワセル	見合わせる
コウリョ	考慮
キザム	刻む
ユウソウ	郵送
オモイ	重い
ヨミカキ	読み書き
ニンソウ	人相
ラクサツ	落札
フム	踏む
フリエキ	不利益
ムカエル	迎える
トリコム	取り込む
ウチコム	打ち込む
ビョウシャ	描写
コワス	壊す
ギョウレツ	行列
ブンプ	分布
スズ	鈴
タンケン	探検
アンノジョウ	案の定
チョウカク	聴覚
ケンケツ	献血
アガル	挙がる
ヨウジン	用心
ギャクコウカ	逆効果
ハンギャク	反逆
シセツ	使節
セツヤク	節約
ソウシツ	喪失
コウウン	幸運
オトシダマ	お年玉
キュウヨウ	休養
ヨウシ	養子
ケイシ	軽視
オナジ	同じ
モクヨウ	木曜
ユダン	油断
マチカド	街角
カイドウ	街道
ジホウ	時報
ヒキツグ	引き継ぐ
スマス	済ます
シンド	震度
カセイ	火星
シュツガン	出願
ツキミ	月見
センダッテ	先だって
ドウトウ	同等
ヒガン	彼岸
ユウトウセイ	優等生
ケイジ	掲示
チュウワ	中和
ミワケ	見分け
コタイ	固体
オオアメ	大雨
ヒンメイ	品名
ヒゴロ	日ごろ
ヘイカイ	閉会
タタカウ	闘う
ヒビ	日々
ヒトツ	一つ
ショクヨク	食欲
ヨッキュウ	欲求
ヨクボウ	欲望
ロンジル	論じる
ツイセキ	追跡
フキソク	不規則
フヘイ	不平
クニ	国
クニグニ	国々
コッカイ	国会
ショウジル	生じる
ダイショウ	代償
ホウイ	包囲
ホウソウ	包装
チュウシャ	駐車
ヒトビト	人々
トシ	年
ネンネン	年々
シュウトク	習得
フヤス	増やす
オオイニ	大いに
タイカイ	大会
タイコク	大国
オトナ	大人
オオキイ	大きい
オオゲサ	大げさ
ジャクテン	弱点
コウスイ	香水
ジツワ	実話
フタツ	二つ
フタリ	二人
タイスル	対する
サイセンタン	最先端
カツ	勝つ
ホンゴク	本国
ホンニン	本人
ホンネン	本年
マッタン	末端
アラワレ	現れ
スイソク	推測
チュウネン	中年
ニッチュウ	日中
マイスウ	枚数
カイチョウ	会長
コッセツ	骨折
ナガサ	長さ
ナガネン	長年
ダス	出す
バケル	化ける
コトバヅカイ	言葉遣い
コウゴ	交互
ミッツ	三つ
ショケイ	処刑
サン	三
ドウイツ	同一
ミッシュウ	密集
コウテイ	校庭
トキ	時
ナカニワ	中庭
ドウジ	同時
ニチジ	日時
イチジ	一時
トキドキ	時々
ヒエル	冷える
ヒヤス	冷やす
ハナタバ	花束
コト	事
ジンジ	人事
ダイジ	大事
テツヤ	徹夜
ミズカラ	自ら
ジコク	自国
ナカヨク	仲良く
ユウダイ	雄大
エイコウ	栄光
キゾク	貴族
ギョウ	行
ギョウジ	行事
ギョウセイ	行政
テキセイ	適性
オコナウ	行う
カイシャ	会社
カイサツ	改札
シャカイ	社会
シャカイジン	社会人
シャチョウ	社長
チョッカン	直感
ホンシャ	本社
カイケン	会見
ミゴト	見事
ミダシ	見出し
ミホン	見本
ネンガッピ	年月日
タチヨル	立ち寄る
ルイジ	類似
ヨビカケ	呼びかけ
エキベン	駅弁
ジブン	自分
ジュウブン	十分
ワケル	分ける
ワカレル	分かれる
カイギ	会議
ギカイ	議会
ギチョウ	議長
クイコム	食い込む
ウシロ	後ろ
ウカベル	浮かべる
コワレル	壊れる
デマエ	出前
ゼンゴ	前後
ゼンネン	前年
ウリテ	売り手
オソラク	恐らく
ウツ	討つ
コクミン	国民
ジンミン	人民
クレル	暮れる
オソレル	恐れる
コウクウビン	航空便
ジンセイ	人生
イキル	生きる
セイゼン	生前
フベン	不便
イッショウ	一生
シュッショウ	出生
シュッセイ	出生
ウンドウジョウ	運動場
ウンドウバ	運動場
コクレン	国連
レンジツ	連日
ヒトリヒトリ	一人一人
キンモツ	禁物
イツツ	五つ
ゴブ	五分
キゴコロ	気心
カリル	借りる
シュッパツ	出発
ココロアタリ	心当たり
ツウヨウ	通用
ハツ	発
ハッケン	発見
ハッコウ	発行
ハッセイ	発生
アイダ	間
ジカン	時間
ニンゲン	人間
オソイ	遅い
チュウカン	中間
ネンカン	年間
ミンカン	民間
カンセツ	関節
